"Y_t" "mu_t" "t" "m" "g11" "g21" "g12" "g22" "g13" "g23" "g14" "g24"
0.10668058976846 0.142685107558654 39.8298586 -0.00198286126947108 -0.00761700781640139 -0.0792506408626823 -0.0199026958782665 0.0274339457197264 0.0253592554906636 -0.00691370700135646 -0.0189649000511322 -0.00290542908132889
-0.0324255947636914 0.028174065862575 39.9340252 -0.00199742237269065 -0.00767294316535723 -0.0798326164045851 -0.0200488509388817 0.0276354063672741 0.0255454806908106 -0.00696447767443711 -0.0191041684263055 -0.00292676504335595
0.121173193181962 0.00689288787214198 39.9687474 -0.00199942153111674 -0.00768062277743711 -0.0799125184072583 -0.0200689172152166 0.0276630657928683 0.025571048374276 -0.00697144820526551 -0.01912328919906 -0.00292969435218798
0.0446320282794834 -0.0256449393074056 40.0034697 -0.00199999287979535 -0.00768281756908383 -0.079935353967987 -0.0200746520485939 0.0276709707072853 0.0255783554800923 -0.00697344034532105 -0.0191287538126217 -0.00293053153282787
0.0149304325261836 -0.0343440107365775 40.0381919 -0.00199913634745085 -0.00767952726649762 -0.0799011202380402 -0.0200660547235945 0.0276591201243888 0.0255674010966997 -0.00697045384608472 -0.0191205615852813 -0.00292927648083754
0.0552805768274708 -0.0649255022397386 40.1423585 -0.00198800135509639 -0.00763675305677083 -0.0794560788760051 -0.0199542887771565 0.0275050615522914 0.0254249931933577 -0.00693162910539995 -0.0190140619424048 -0.00291296069964542
-0.114917043917782 -0.0457802479432053 40.1770808 -0.00198143601041671 -0.00761153279425806 -0.0791936763663794 -0.0198883900375385 0.0274142264987521 0.0253410275343983 -0.00690873750416841 -0.0189512682878166 -0.00290334069059337
0.276198357034614 0.131325076472846 40.3159696 -0.00194092836266811 -0.00745592580637865 -0.0775746740219679 -0.0194818001231067 0.0268537815363744 0.0248229661831588 -0.00676749816878984 -0.0185638364978641 -0.00284398600976065
0.203442410010719 0.116719346621159 40.3506919 -0.00192724585023927 -0.0074033654958198 -0.0770278138380042 -0.0193444637960955 0.0266644766621194 0.0246479774767983 -0.00671979090684878 -0.018432971326076 -0.0028239374213251
0.0504250446440463 0.0287152392690785 40.4201363 -0.00189562503355996 -0.00728189658041175 -0.0757639987516845 -0.0190270742199914 0.0262269857585702 0.0242435717922756 -0.0066095375749439 -0.018130536840572 -0.00277760435618841
0.0306422868872445 -0.0135047217780526 40.4895807 -0.00185834255087622 -0.00713867881405099 -0.0742738992217126 -0.0186528564540459 0.0257111626790689 0.0237667577971364 -0.00647954352769152 -0.0177739518547027 -0.00272297541614039
-0.0307229074485991 -0.0350604024410872 40.5590252 -0.00181541608073967 -0.00697378010752279 -0.0725582218212447 -0.0182219879442771 0.0251172520158283 0.0232177615863246 -0.00632987040547366 -0.0173633854534008 -0.00266007650504975
-0.0643332126762607 -0.0564966458112832 40.5937474 -0.0017918426838617 -0.00688322473128787 -0.0716160445551631 -0.0179853732319402 0.0247911014674583 0.0229162761503966 -0.0062476762744216 -0.017137919798017 -0.0026255350906354
-0.155361834747154 -0.0439052908412726 40.6631918 -0.00174048953337209 -0.00668595558558484 -0.0695635711172686 -0.017469923083046 0.0240806031765493 0.0222595092431162 -0.00606862157122675 -0.0166467571628187 -0.00255028880934101
-0.0116998175017821 -0.0642088490636461 40.7326363 -0.0016835484668739 -0.00646722089381963 -0.0672877608622275 -0.0168983849996984 0.0232927930803082 0.0215312772303827 -0.00587008329919814 -0.0161021494025233 -0.00246685471686421
0.237087677820022 0.0856025375905107 40.8020807 -0.00162104674917982 -0.00622712539165605 -0.0647897035051458 -0.0162710326486857 0.0224280484019947 0.0207319288079726 -0.00565215652344662 -0.0155043572890042 -0.00237527276354388
0.259211650844918 0.111442387964533 40.8368029 -0.00158771980994896 -0.0060991025387583 -0.0634576984210274 -0.0159365181033277 0.0219669523808354 0.0203057031412105 -0.00553595439844592 -0.0151856047462749 -0.00232643976653908
-0.0117996909175938 -0.0238059629294816 41.0451363 -0.00135895294157457 -0.00522031235238976 -0.0543143855700704 -0.0136403022871332 0.0188018404559204 0.0173799525845653 -0.00473830550393685 -0.0129975844038895 -0.00199123431245464
-0.0486603957677099 -0.0410322841591611 41.2187474 -0.00113110993520741 -0.00434507111028616 -0.0452079974688527 -0.0113533596081202 0.0156495106557812 0.0144660175054023 -0.00394387786919321 -0.0108184002574085 -0.00165738256656164
0.0439081819097739 0.0310392277842084 41.2881918 -0.00103066228614533 -0.00395920925508482 -0.0411933239846895 -0.0103451302167101 0.0142597637307336 0.0131813700945013 -0.00359364377804292 -0.00985767766215515 -0.00151019954108758
0.150670671616899 0.0696413130523139 41.322914 -0.000978466629093806 -0.00375870368575179 -0.0391071773967914 -0.00982122352467009 0.0135376089111284 0.0125138281826933 -0.00341165147976489 -0.00935845694796497 -0.00143371875937509
0.154217106702995 0.0497563051728888 41.3576362 -0.000924964645973438 -0.00355317996611733 -0.0369688198046616 -0.00928420476530279 0.0127973803719864 0.0118295793751262 -0.00322510437181496 -0.0088467419944091 -0.00135532385597968
0.0216367757506889 -0.00720923190953161 41.4965251 -0.000698022921433119 -0.00268140092826647 -0.0278984539726132 -0.0070063085780319 0.0096575202877552 0.00892717099047662 -0.00243381926578592 -0.00667617807770766 -0.00102279273219498
0.0612841503432082 -0.0175072546369749 41.6006918 -0.000514427421657642 -0.00197613305180079 -0.0205605422181554 -0.00516349412958369 0.00711737839645183 0.00657912715229911 -0.00179367085411522 -0.004920195268074 -0.000753775573777703
-0.0176494868340667 -0.0157349355446474 41.635414 -0.000450716898968209 -0.00173139401897784 -0.0180141715614827 -0.00452400856553744 0.00623590925478892 0.0057643190529125 -0.00157152929859656 -0.00431084164681295 -0.000660422393573664
0.0254370374503569 -0.00975723706304009 41.7048584 -0.0003195729948351 -0.00122761488009651 -0.0127726357022668 -0.00320766975735343 0.00442146323032227 0.00408709038232491 -0.00111426557462854 -0.00305652745323192 -0.000468261036259454
0.0746624935781556 -0.00917491579057718 41.7395807 -0.000252155022260736 -0.000968633966014788 -0.0100780863586275 -0.00253097117761124 0.00348869953746319 0.00322486687859392 -0.000879197132785929 -0.00241171425767042 -0.000369475437318364
